"id","model","name","transient","field_id","field_id/field_description","field_id/name","field_id/ttype","field_id/model","field_id/selection_ids","field_id/selection_ids/name","field_id/selection_ids/value"
"studio_customization.club_6581d136-bd51-49f3-93f9-f8de2f7d3cdd","x_club","Club","","Next Activity Calendar Event (Club)","Next Activity Calendar Event","activity_calendar_event_id","many2one","x_club","","",""
"","","","","Next Activity Deadline (Club)","Next Activity Deadline","activity_date_deadline","date","x_club","","",""
"","","","","Activity Exception Decoration (Club)","Activity Exception Decoration","activity_exception_decoration","selection","x_club","Alert","Alert","warning"
"","","","","","","","","","Error","Error","danger"
"","","","","Icon (Club)","Icon","activity_exception_icon","char","x_club","","",""
"","","","","Activities (Club)","Activities","activity_ids","one2many","x_club","","",""
"","","","","Activity State (Club)","Activity State","activity_state","selection","x_club","Overdue","Overdue","overdue"
"","","","","","","","","","Today","Today","today"
"","","","","","","","","","Planned","Planned","planned"
"","","","","Next Activity Summary (Club)","Next Activity Summary","activity_summary","char","x_club","","",""
"","","","","Activity Type Icon (Club)","Activity Type Icon","activity_type_icon","char","x_club","","",""
"","","","","Next Activity Type (Club)","Next Activity Type","activity_type_id","many2one","x_club","","",""
"","","","","Responsible User (Club)","Responsible User","activity_user_id","many2one","x_club","","",""
"","","","","Created on (Club)","Created on","create_date","datetime","x_club","","",""
"","","","","Created by (Club)","Created by","create_uid","many2one","x_club","","",""
"","","","","Display Name (Club)","Display Name","display_name","char","x_club","","",""
"","","","","Has Message (Club)","Has Message","has_message","boolean","x_club","","",""
"","","","","ID (Club)","ID","id","integer","x_club","","",""
"","","","","Attachment Count (Club)","Attachment Count","message_attachment_count","integer","x_club","","",""
"","","","","Followers (Club)","Followers","message_follower_ids","one2many","x_club","","",""
"","","","","Message Delivery error (Club)","Message Delivery error","message_has_error","boolean","x_club","","",""
"","","","","Number of errors (Club)","Number of errors","message_has_error_counter","integer","x_club","","",""
"","","","","SMS Delivery error (Club)","SMS Delivery error","message_has_sms_error","boolean","x_club","","",""
"","","","","Messages (Club)","Messages","message_ids","one2many","x_club","","",""
"","","","","Is Follower (Club)","Is Follower","message_is_follower","boolean","x_club","","",""
"","","","","Action Needed (Club)","Action Needed","message_needaction","boolean","x_club","","",""
"","","","","Number of Actions (Club)","Number of Actions","message_needaction_counter","integer","x_club","","",""
"","","","","Followers (Partners) (Club)","Followers (Partners)","message_partner_ids","many2many","x_club","","",""
"","","","","My Activity Deadline (Club)","My Activity Deadline","my_activity_date_deadline","date","x_club","","",""
"","","","","Ratings (Club)","Ratings","rating_ids","one2many","x_club","","",""
"","","","","Website Messages (Club)","Website Messages","website_message_ids","one2many","x_club","","",""
"","","","","Last Updated on (Club)","Last Updated on","write_date","datetime","x_club","","",""
"","","","","Last Updated by (Club)","Last Updated by","write_uid","many2one","x_club","","",""
"","","","","Active (Club)","Active","x_active","boolean","x_club","","",""
"","","","","Color (Club)","Color","x_color","integer","x_club","","",""
"","","","","Description (Club)","Description","x_name","char","x_club","","",""
"","","","","Color de Pantalon (Club)","Color de Pantalon","x_studio_accent_color","char","x_club","","",""
"","","","","Club Certificate (Club)","Club Certificate","x_studio_certificate","binary","x_club","","",""
"","","","","Certificate Filename (Club)","Certificate Filename","x_studio_certificate_filename","char","x_club","","",""
"","","","","Court Availability (Club)","Court Availability","x_studio_court_availability_ids","one2many","x_club","","",""
"","","","","Courts (Club)","Courts","x_studio_court_ids","one2many","x_club","","",""
"","","","","Director Email (Club)","Director Email","x_studio_director_email","char","x_club","","",""
"","","","","Club Director (Club)","Club Director","x_studio_director_id","many2one","x_club","","",""
"","","","","Director Phone (Club)","Director Phone","x_studio_director_phone","char","x_club","","",""
"","","","","Image (Club)","Image","x_studio_image","binary","x_club","","",""
"","","","","Kanban State (Club)","Kanban State","x_studio_kanban_state","selection","x_club","In Progress","In Progress","normal"
"","","","","","","","","","Ready","Ready","done"
"","","","","","","","","","Blocked","Blocked","blocked"
